PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Gender,embarked,cabin_count,first_cabin_number,cabin_letters_encoded,ticket_numbers,ticket_letters_length,ticket_punctuation_length,title_encoded,surname_length,forenames_length,ticket_numbers_enc
1,0,3,22.0,1,0,7.25,1,3,1,-1.0,8,21171.0,1,1,3,6,12,0.37587750916716905
2,1,1,38.0,1,0,71.2833,0,0,1,85.0,2,17599.0,2,0,4,7,38,0.36930577340629606
3,1,3,26.0,0,0,7.925,0,3,1,-1.0,8,3101282.0,5,2,2,9,6,0.36930577340629606
4,1,1,35.0,1,0,53.1,0,3,1,123.0,2,113803.0,0,0,4,8,30,0.37587750916716905
5,0,3,35.0,0,0,8.05,1,3,1,-1.0,8,373450.0,0,0,3,5,14,0.37383777391428363
6,0,3,32.368090452261306,0,0,8.4583,1,2,1,-1.0,8,330877.0,0,0,3,5,6,0.36721663062041743
7,0,1,54.0,0,0,51.8625,1,3,1,46.0,4,17463.0,0,0,3,8,10,0.36930577340629606
8,0,3,2.0,3,1,21.075,1,3,1,-1.0,8,349909.0,0,0,1,7,14,0.2644628047079984
9,1,3,27.0,0,2,11.1333,0,3,1,-1.0,8,347742.0,0,0,4,7,36,0.5838040936544717
10,1,2,14.0,1,0,30.0708,0,0,1,-1.0,8,237736.0,0,0,4,6,23,0.309320806634981
11,1,3,4.0,1,1,16.7,0,3,1,6.0,6,9549.0,2,0,2,9,15,0.49683929375546076
12,1,1,58.0,0,0,26.55,0,3,1,103.0,2,113783.0,0,0,2,7,10,0.36721663062041743
13,0,3,20.0,0,0,8.05,1,3,1,-1.0,8,2151.0,1,2,3,11,14,0.36930577340629606
14,0,3,39.0,1,5,31.275,1,3,1,-1.0,8,347082.0,0,0,3,9,13,0.1738009032746982
15,0,3,14.0,0,0,7.8542,0,3,1,-1.0,8,350406.0,0,0,2,7,22,0.37383777391428363
16,1,2,55.0,0,0,16.0,0,3,1,-1.0,8,248706.0,0,0,4,7,19,0.36721663062041743
17,0,3,2.0,4,1,29.125,1,2,1,-1.0,8,382652.0,0,0,1,4,7,0.20780201948835308
18,1,2,32.368090452261306,0,0,13.0,1,3,1,-1.0,8,244373.0,0,0,3,8,15,0.37383777391428363
19,0,3,31.0,1,0,18.0,0,3,1,-1.0,8,345763.0,0,0,4,13,36,0.37383777391428363
20,1,3,35.898148148148145,0,0,7.225,0,0,1,-1.0,8,2649.0,0,0,4,10,7,0.36930577340629606
21,0,2,35.0,0,0,26.0,1,3,1,-1.0,8,239865.0,0,0,3,6,9,0.30054283719503305
22,1,2,34.0,0,0,13.0,1,3,1,56.0,3,248698.0,0,0,3,7,9,0.3789559599553131
23,1,3,15.0,0,0,8.0292,0,2,1,-1.0,8,330923.0,0,0,2,7,13,0.37587750916716905
24,1,1,28.0,0,0,35.5,1,3,1,6.0,0,113788.0,0,0,3,6,17,0.37587750916716905
25,0,3,8.0,3,1,21.075,0,3,1,-1.0,8,349909.0,0,0,2,7,15,0.26262979990080443
26,1,3,38.0,1,5,31.3875,0,3,1,-1.0,8,347077.0,0,0,4,7,44,0.40996556532570155
27,0,3,32.368090452261306,0,0,7.225,1,0,1,-1.0,8,2631.0,0,0,3,4,14,0.37383777391428363
28,0,1,19.0,3,2,263.0,1,3,3,23.0,2,19950.0,0,0,3,7,18,0.40996556532570155
29,1,3,21.773972602739725,0,0,7.8792,0,2,1,-1.0,8,330959.0,0,0,2,7,15,0.37587750916716905
30,0,3,32.368090452261306,0,0,7.8958,1,3,1,-1.0,8,349216.0,0,0,3,8,6,0.3789559599553131
31,0,1,40.0,0,0,27.7208,1,0,1,-1.0,8,17601.0,2,0,6,9,9,0.36930577340629606
32,1,1,35.898148148148145,1,0,146.5208,0,0,1,78.0,1,17569.0,2,0,4,7,33,0.4929488793820303
33,1,3,21.773972602739725,0,0,7.75,0,2,1,-1.0,8,335677.0,0,0,2,5,12,0.36721663062041743
34,0,2,66.0,0,0,10.5,1,3,1,-1.0,8,24579.0,2,1,3,7,9,0.36930577340629606
